Factor_Evidence_Map_ID,Factor_ID,Card_ID,Evidence_ID,Sort_Order,Is_Primary
FEM-0341,CTF-0068,CARD-0271,CEVID-0219,1,YES
FEM-0342,CEF-0068,CARD-0272,CEVID-0219,1,YES
FEM-0343,CCF-0069,CARD-0273,CEVID-0220,1,YES
FEM-0344,CPF-0069,CARD-0274,CEVID-0220,1,YES
FEM-0345,CTF-0069,CARD-0275,CEVID-0220,1,YES
FEM-0346,CEF-0069,CARD-0276,CEVID-0220,1,YES
FEM-0347,CCF-0070,CARD-0277,CEVID-0221,1,YES
FEM-0348,CPF-0070,CARD-0278,CEVID-0221,1,YES
FEM-0349,CTF-0070,CARD-0279,CEVID-0221,1,YES
FEM-0350,CEF-0070,CARD-0280,CEVID-0221,1,YES
FEM-0351,CCF-0071,CARD-0281,CEVID-0222,1,YES
FEM-0352,CPF-0071,CARD-0282,CEVID-0222,1,YES
FEM-0353,CTF-0071,CARD-0283,CEVID-0222,1,YES
FEM-0354,CEF-0071,CARD-0284,CEVID-0222,1,YES
FEM-0355,CCF-0072,CARD-0285,CEVID-0223,1,YES
FEM-0356,CPF-0072,CARD-0286,CEVID-0223,1,YES
FEM-0357,CTF-0072,CARD-0287,CEVID-0223,1,YES
FEM-0358,CEF-0072,CARD-0288,CEVID-0223,1,YES
FEM-0359,CCF-0073,CARD-0289,CEVID-0224,1,YES
FEM-0360,CPF-0073,CARD-0290,CEVID-0224,1,YES
FEM-0361,CTF-0073,CARD-0291,CEVID-0224,1,YES
FEM-0362,CEF-0073,CARD-0292,CEVID-0224,1,YES
FEM-0363,CCF-0074,CARD-0293,CEVID-0225,1,YES
FEM-0364,CPF-0074,CARD-0294,CEVID-0225,1,YES
FEM-0365,CTF-0074,CARD-0295,CEVID-0225,1,YES
FEM-0366,CEF-0074,CARD-0296,CEVID-0225,1,YES
FEM-0367,CCF-0075,CARD-0297,CEVID-0226,1,YES
FEM-0368,CPF-0075,CARD-0298,CEVID-0226,1,YES
